resource_id,source,title,url,resource_type,format,course_type,openings,color,author,author_title,level_min,level_max,level_tier,duration_min,price_eur,is_free,has_video,has_pgn,has_exercises,has_spaced_rep,rating_score,views_yt,pub_date,description,level_tier_original,level_tier_source,level_tier_new
mc__expert_repertoire_against_vienna_and_rag,modern_chess,Expert Repertoire against Vienna and Ragozin,https://www.modern-chess.com/course/expert-repertoire-against-vienna-and-ragozin/43605/,course,video,opening,Ragozin Defense|Vienna Variation|1.d4,Both,GMGyula Pap,GM,2300.0,3000.0,expert,,,0,1,1.0,1.0,1.0,,,,"In his first opening project for Modern Chess, GM Gyula Pap builds repertoire against two of the most popular and reliable openings - Ragozin Defence and Vienna Variation. From the perspective of the ambitious tournament player, this repertoire provides a lot of value. GM Pap goes for relatively une",expert,range_only,expert
mc__understand_the_sicilian_20_must_know_con,modern_chess,Understand the Sicilian - 20 Must-Know Concepts,https://www.modern-chess.com/course/understand-the-sicilian-20-must-know-concepts/93572/,course,interactive,opening,Sicilian Defense|1.e4,Both,GMDejan Bojkov,GM,1200.0,3000.0,intermediate,,,0,0,1.0,0.0,0.0,,,,"In this introductory course, GM Bojkov presents to you the main pawn structures and most common strategical ideas for both sides to build upon our knowledge for the future.The Sicilian Defence is and will remain one of the most complex openings, but the proper understanding of the middle game and en",intermediate,fallback_lmin,intermediate
mc__attack_with_scotch_game_gm_gm_avetik_gri,modern_chess,Attack with Scotch Game - GM GM Avetik Grigoryan and GM Samvel Ter-Sahakyan,https://www.modern-chess.com/course/attack-with-scotch-game-gm-gm-avetik-grigoryan-and-gm-samvel-ter-sahakyan/53539/,course,video,opening,Scotch Game|1.e4,Both,Modern Chess Team,,1800.0,2300.0,advanced,,,0,1,0.0,0.0,0.0,,,,"Players from all levels struggle to find a reliable repertoire for White after 1.e4 e5. Usually, Black is able to achieve a rock-solid position without theoretical problems.In this course, Armenian grandmasters Avetik Grigoryan and Samvel Ter-Sahakyan make a strong case for the Scotch Game that aris",advanced,range_only,advanced
mc__rook_vs_minor_piece_in_the_endgame,modern_chess,Rook vs Minor Piece in the Endgame,https://www.modern-chess.com/course/rook-vs-minor-piece-in-the-endgame/63473/,course,video,endgame,,Both,"GMDejan Bojkov, GMGrigor Grigorov",GM,2300.0,3000.0,expert,240.0,,0,1,1.0,0.0,0.0,,,,"May 20, 2021",expert,range_only,expert
mc__eljanovs_algorithm,modern_chess,Eljanov's Algorithm,https://www.modern-chess.com/course/eljanovs-algorithm/23440/,course,video,general,,Both,GMPavel Eljanov,GM,2300.0,3000.0,expert,,,0,1,1.0,0.0,0.0,,,,"Most of the players want to understand the decision-making process of top-level grandmasters. The vast majority of the learning resources present different elements of chess knowledge. When you play a practical game, however, you should be able to connect the points in order to make the optimal deci",expert,range_only,expert
mc__symmetrical_english_complete_repertoire_,modern_chess,Symmetrical English - Complete Repertoire for Black,https://www.modern-chess.com/course/symmetrical-english-complete-repertoire-for-black/83341/,course,video,opening,English Opening,Black,GMSwapnil Dhopade,GM,1200.0,3000.0,intermediate,240.0,,0,1,1.0,1.0,1.0,,,,"Welcome to the Symmetrical English Repertoire Against 1.c4. 1.c4 has gained a lot of popularity these days. It is catching up with moves like 1.d4 and 1.e4.1.c4 also provides many opportunities to transpose to other openings in 1.d4, for example, the Catalan Defence.",intermediate,fallback_lmin,intermediate
mc__practical_decision_making,modern_chess,Practical Decision Making,https://www.modern-chess.com/course/practical-decision-making/43308/,course,video,general,,Both,"GMDavorin Kuljasevic, GMDejan Bojkov, GMGrigor Grigorov, GMIoannis Papaioannou, GMMihail Marin, GMPetar G. Arnaudov",GM,1200.0,3000.0,intermediate,540.0,,0,1,1.0,1.0,0.0,,,,"May 5, 2021",intermediate,fallback_lmin,intermediate
mc__arkhangelsk_variation_lifetime_solution_,modern_chess,Arkhangelsk Variation - Lifetime Solution for BlackUpdated,https://www.modern-chess.com/course/arkhangelsk-variation-lifetime-solution-for-black/53242/,course,video,opening,Ruy Lopez|1.e4,Black,GMBoris Avrukh,GM,2300.0,3000.0,expert,360.0,,0,1,1.0,1.0,1.0,,,,"Welcome to the latest opening project of GM Boris Avrukh - Arkhangelsk Variation. Having worked on this opening with Fabiano Caruana, Avrukh is one of the biggest Arkhangelsk experts in the world.",expert,range_only,expert
mc__accelerated_dragon_with_gm_alex_fier,modern_chess,Accelerated Dragon with GM Alex Fier,https://www.modern-chess.com/course/accelerated-dragon-with-gm-alex-fier/13209/,course,video,opening,Sicilian Defense|1.e4,Both,Modern Chess Team,,1200.0,3000.0,intermediate,,,0,1,1.0,0.0,0.0,,,,GM Alex Fier’s brand-new course on the Sicilian Accelerated Dragon gives you a complete understanding of essential fundamental ideas and tactical patterns… to get you ready for your next tournament game.,intermediate,fallback_lmin,intermediate
mc__carlsens_alekhine_defense_with_im_david_,modern_chess,Carlsen's Alekhine Defense with IM David Fitzsimons,https://www.modern-chess.com/course/carlsens-alekhine-defense-with-im-david-fitzsimons/63176/,course,video,opening,Alekhine Defense|1.e4,Both,Modern Chess Team,,1200.0,3000.0,intermediate,,,0,1,1.0,0.0,0.0,,,,"IM David Fitzsimons is here with his brand-new course “Carlsen’s Alekhine Defence”, where he dissects Carlsen’s most popular games in the Alekhine Defence—and finds out the secret behind his wins against his super-strong and highly prepared opponents.",intermediate,fallback_lmin,intermediate
